time,x,y,vx,vy,theta,theta_dot,alpha,mass,MomentsApplied,ParallelThrust,PerpendicularThrust
0,0,0,0,0,1.5707963267949,0,0,8111653.21969754,0,68471346.528,0
0.01,0,0,0,0,1.5707963267949,0,-1.5707963267949,8111653.21969754,-36313894.9763222,71093922.9703112,-763629.280250308
0.02,0,0,5.16868837262443e-18,-0.0136554130445926,1.5707963267949,0,0,8111453.67054944,-36331430.283505,73727816.7916505,-764000.629244855
0.03,5.16868837262443e-20,-0.000136554130445926,-0.00094142099710541,-0.0240755726254461,1.5707963267949,-1.68882559929018e-05,-0.0390828344062326,8111246.46635623,-36348973.7556509,76308837.8329335,-764372.252513412
0.04,-9.41420997105405e-06,-0.000377309856700387,-0.0018833238629766,-0.0312462810867773,1.57079615791234,-3.37848397270025e-05,-0.0602005370566832,8111031.58650263,-36366234.0738541,78902285.3739178,-764738.024389263
0.05,-2.82474486008201e-05,-0.00068977266756816,-0.00282570985186729,-0.0352324695724382,1.57079582006394,-5.06897615655999e-05,-0.0800300593975254,8110809.18504159,-36383211.0979716,81508210.3869446,-765097.939989671
0.06,-5.6504547119493e-05,-0.00104209736329254,-0.00376855622000714,-0.0360185580767139,1.57079531316632,-6.76028962646032e-05,-0.104247865591351,8110579.22573489,-36399904.6876833,84126370.1699336,-765451.996910166
0.07,-9.41901093195644e-05,-0.00140228294405968,-0.00471183858504598,-0.0335888931146983,1.57079463713736,-8.45241185507511e-05,-0.139368527629234,8110341.67219783,-36416314.7048307,86756791.9182638,-765800.19278995
0.08,-0.000141308495170024,-0.00173817187520666,-0.00565553091243929,-0.0279281096658101,1.57079379189618,-0.000101453303121356,-0.199798762420967,8110096.48875483,-36432441.0134174,89399453.4309828,-766142.525300677
0.09,-0.000197863804294417,-0.00201745297186476,-0.00659960549877874,-0.0190207982800044,1.57079277736314,-0.00011839032464426,-0.333967473723276,8109843.63965268,-36448283.4796103,92054194.9668127,-766478.992156727
0.1,-0.000263859859282204,-0.00220766095466481,-0.00754403295525735,-0.0068515658362354,1.5707915934599,-0.000135335057757926,-0.833459076826161,8109583.08920436,-36463841.9717378,94720296.3629461,-766809.59111324
0.11,-0.000339300188834778,-0.00227617661302716,-0.00848878219159741,0.00859479499745177,1.57079024010932,-0.000152287377068579,0.779198790658045,8109314.80218971,-36479116.3602938,97392501.0666817,-767134.319960917
0.12,-0.000424188010750752,-0.00219022866305265,-0.00943382040134833,0.0273326147944808,1.57078871723555,-0.000169247157110031,0.332354166472288,8109038.74548849,-36494106.5179365,100018909.333261,-767453.176504503
0.13,-0.000518526214764235,-0.00191690251510784,-0.0103791131263013,0.0493697531480561,1.57078702476398,-0.000186214273089656,0.207223903735232,8108754.90130053,-36508812.319488,102587471.347764,-767766.158389149
0.14,-0.000622317346027248,-0.00142320498362728,-0.0113246246127972,0.0746500756526996,1.57078516262125,-0.00020318859904164,0.15056601284881,8108463.40307604,-36523233.6419259,105137838.701902,-768073.261314668
0.15,-0.00073556359215522,-0.000676704227100281,-0.0122703178522581,0.103102588457561,1.57078313073526,-0.000220170009313917,0.118466815318553,8108164.41938327,-36537370.3644009,107674572.037026,-768374.480557673
0.16,-0.000858266770677801,0.000354321657475325,-0.0132161540026958,0.1347051996338,1.57078092903516,-0.000237158378059601,0.0978140831849645,8107858.0032367,-36551222.3682334,110198640.722137,-768669.812950992
0.17,-0.000990428310704759,0.00170137365381332,-0.0141620926466705,0.169441447629813,1.57077855745138,-0.000254153579333748,0.0834049959043177,8107544.19436085,-36564789.5369144,112710335.539022,-768959.255542214
0.18,-0.00113204923717146,0.00339578813011145,-0.0151080918350425,0.207296072617935,1.57077601591559,-0.000271155487104371,0.0727733856196255,8107223.02965614,-36578071.7561106,115209801.563337,-769242.805456492
0.19,-0.00128313015552189,0.0054687488562908,-0.0160541081070391,0.248254179566018,1.57077330436072,-0.000288163975255155,0.0646011292025535,8106894.54517633,-36591068.913662,117697136.559947,-769520.459870599
0.2,-0.00144367123659228,0.00795129065195097,-0.0170000965052152,0.292301058440258,1.57077042272097,-0.000305178917586821,0.0581200061263081,8106558.77655309,-36603780.899587,120172419.018115,-769792.216007492
0.21,-0.00161367220164443,0.0108743012363536,-0.0179460105893823,0.339422125746127,1.57076737093179,-0.000322200187818061,0.0528520180131558,8106215.75913388,-36616207.6060819,122635718.154556,-770058.071134534
0.22,-0.00179313230753826,0.0142685224938148,-0.0188918024501848,0.389602900642396,1.57076414892991,-0.000339227659586492,0.0484841188002891,8105865.52803802,-36628348.927521,125087098.173615,-770318.022562791
0.23,-0.0019820503320401,0.0181645515002388,-0.0198374227224885,0.442828993391809,1.57076075665332,-0.000356261206449572,0.0448026681267617,8105508.11818368,-36640204.7604616,127526620.304227,-770572.066420314
0.24,-0.00218042455926499,0.0225928414341569,-0.020782820598618,0.49908609906619,1.57075719404125,-0.000373300701885162,0.0416568424089749,8105143.56430248,-36651775.0036419,129954343.862283,-770820.181359499
0.25,-0.00238825276525117,0.0275837024248188,-0.0217279438400194,0.558359993765782,1.57075346103423,-0.000390346019292961,0.0389371034867694,8104771.90094809,-36663059.5579849,131669663.007592,-771062.38436638
0.26,-0.00260553220365136,0.0331673023624766,-0.0226727387686517,0.620636532148714,1.57074955757404,-0.000407397031994729,0.0365619592416446,8104393.16250181,-36674058.3265983,131669663.114855,-771298.67292748
0.27,-0.00283225959133788,0.0393736676839637,-0.0236171873867114,0.685037097514861,1.57074548360372,-0.000424453613235521,0.0345129725747764,8104009.4251176,-36684771.2147752,131669663.764938,-771529.017752751
0.28,-0.00306843146520499,0.0462240386591123,-0.0245613380806583,0.7494453599725,1.57074123906759,-0.000441515634465263,0.0328160489582856,8103625.68774141,-36695198.1299989,131669664.981835,-771753.351160647
0.29,-0.00331404484601157,0.0537184922588373,-0.0255051557821414,0.813861321078639,1.57073682391124,-0.000458582962876984,0.0313877040297998,8103241.95037317,-36705338.9819685,131669666.781821,-771971.671134182
0.3,-0.00356909640383299,0.0618571054696237,-0.0264486053254697,0.878284982422753,1.57073223808161,-0.000475655465617134,0.0301689125966951,8102858.21301274,-36715193.6826782,131669669.165066,-772183.97570459
0.31,-0.00383358245708769,0.0706399552938513,-0.0273916515286364,0.942716345614982,1.57072748152696,-0.00049273300978299,0.0291167630565088,8102474.47565995,-36724762.1464123,131669672.131736,-772390.262951217
0.32,-0.00410749897237405,0.0800671187500011,-0.0283342591935691,1.00715541226563,1.57072255419686,-0.000509815462423332,0.028199310346845,8102090.73831464,-36734044.2897499,131669675.681995,-772590.531001623
0.33,-0.00439084156430974,0.0901386728726574,-0.029276393106401,1.07160218398514,1.57071745604224,-0.000526902690539502,0.0273922832288969,8101707.00097663,-36743040.0315669,131669679.816003,-772784.778031629
0.34,-0.00468360549537375,0.100854694712509,-0.0302180180377428,1.13605666238408,1.57071218701533,-0.000543994561086469,0.0266769106819622,8101323.26364576,-36751749.2930311,131669684.533917,-772973.002265209
0.35,-0.00498578567575118,0.11221526133635,-0.031159098742955,1.20051884907306,1.57070674706972,-0.000561090940973894,0.0260384474654751,8100939.52632185,-36760171.9976095,131669689.835892,-773155.201974649
0.36,-0.00529737666318073,0.12422044982708,-0.0320995999624191,1.26498874566281,1.57070113616031,-0.000578191697067196,0.0254651498299383,8100555.78900474,-36768308.0710638,131669695.722081,-773331.375480452
0.37,-0.00561837266280492,0.136870337283708,-0.0330394864218053,1.32946635376385,1.57069535424334,-0.000595296696188524,0.0249475488089386,8100172.05169426,-36776157.4414554,131669702.192631,-773501.52115145
0.38,-0.00594876752702297,0.150165000821347,-0.0339787228323373,1.39395167498621,1.57068940127638,-0.000612405805117694,0.0244779248899256,8099788.31439022,-36783720.0391435,131669709.247688,-773665.637404758
0.39,-0.00628855475534635,0.164104517571209,-0.0349172738910934,1.45844471094052,1.57068327721833,-0.000629518890593763,0.0240499218347132,8099404.57709247,-36790995.7967862,131669716.887396,-773823.722668509
