Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average
0,-46.175587396403586,13794.775857562585,117.9026348154531,14546.190042694156,-46.175587396403586,13043.361672431016
1,-161.18467877177815,10719.16199757836,-128.69335767140166,11412.19943309852,-161.18467877177815,10026.124562058201
2,-176.5292717758921,9085.791316226961,-176.5292717758921,9412.4772555206,-166.8068089515096,8759.105376933325
3,-176.5292717758921,12220.399711875809,-176.5292717758921,12025.85532896543,-166.8068089515096,12414.944094786184
4,-176.5292717758921,9990.201719823666,-176.5292717758921,10054.031402623514,-171.6617003820816,9926.372037023819
5,-176.5292717758921,9426.156364602626,-176.5292717758921,9964.774526646099,-171.6617003820816,8887.538202559153
6,-178.5611768827748,10941.86268912565,-176.5292717758921,10656.768863646123,-178.5611768827748,11226.956514605177
7,-183.22999699438094,10362.251532646664,-183.22999699438094,9593.374292941116,-178.5611768827748,11131.128772352213
8,-187.9405660036189,8702.806220406648,-183.22999699438094,8754.060590380115,-187.9405660036189,8651.551850433181
9,-187.9405660036189,8285.064101669297,-183.22999699438094,7291.733581922624,-187.9405660036189,9278.394621415971
10,-187.9405660036189,7770.482467235339,-185.49779658373927,7656.094060221019,-187.9405660036189,7884.870874249659
11,-187.9405660036189,8605.545436264872,-185.49779658373927,8746.474196451129,-187.9405660036189,8464.616676078615
12,-187.9405660036189,8932.039519242906,-185.49779658373927,8080.34745541468,-187.9405660036189,9783.731583071134
13,-192.15170251113264,8740.914498813767,-185.49779658373927,8209.254471246479,-192.15170251113264,9272.574526381053
14,-192.15170251113264,7198.469696608273,-185.49779658373927,6165.118509842905,-192.15170251113264,8231.82088337364
15,-192.15170251113264,7711.5081495422455,-185.49779658373927,7118.245464072888,-192.15170251113264,8304.7708350116
16,-194.1496593109125,7468.459408983067,-188.73713976413453,6974.894872617773,-194.1496593109125,7962.023945348362
17,-194.1496593109125,7710.5320486170485,-188.73713976413453,7551.646554670209,-194.1496593109125,7869.417542563885
18,-194.1496593109125,7263.6253311715245,-188.73713976413453,7072.924420416608,-194.1496593109125,7454.326241926444
