time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],mass_propellant[kg],gimbalangle[deg],nonnominalthrottle[0-1],u0,u1
0.1,-0.007410773334598918,1.5644175819043362,-0.07410773334598918,0.6441758190433622,1.5705781319862944,-0.0021819480860196254,-0.11475737605975245,9087116.837548984,5520191.510524622,7.053711938297441,1.0,1.0076731340424916,1.0
0.2,-0.0216777142702413,1.6933937161760846,-0.1426694093564238,1.2897613427174832,1.5701570747007765,-0.0042105728551835205,-0.11080826871837757,9082806.253299233,5515880.926274871,6.554212258113872,1.0,0.9363160368734104,1.0
0.30000000000000004,-0.03878478215390543,1.8873290260480302,-0.1710706788366413,1.9393530987194554,1.5696493691418767,-0.005077055588995357,-0.08912940739791364,9078490.281000827,5511564.953976464,2.793803580574512,1.0,0.39911479722493026,1.0
0.4,-0.05841347076439653,2.1463134158242902,-0.196286886104911,2.5898438977626,1.569061969944335,-0.005873991975412783,-0.07738074397365424,9074174.12367492,5507248.796650558,2.5687601537650955,1.0,0.3669657362521565,1.0
0.5,-0.08025004974933414,2.470435174015287,-0.21836578984937605,3.241217581909967,1.5684013033864284,-0.006606665579068913,-0.0696648994143092,9069857.8092343,5502932.482209939,2.3608881293611135,1.0,0.33726973276587335,1.0
0.6,-0.10395142470086588,2.859782351593607,-0.23701374951531737,3.893471775783203,1.5676743019635258,-0.0072700142290261695,-0.06392165129235772,9065541.340274125,5498616.013249763,2.136819733678169,1.0,0.30525996195402416,1.0
0.7,-0.12914832735553727,3.3144423780163903,-0.251969026546714,4.54660026422783,1.5668883429850853,-0.007859589784404663,-0.05927056895386352,9061224.723888418,5494299.396864056,1.8985486227520942,1.0,0.27122123182172775,1.0
0.7999999999999999,-0.15544904557723846,3.8345016948772326,-0.2630071822170118,5.200593168608423,1.5660511735998677,-0.008371693852175106,-0.05527464019659801,9056907.971510654,5489982.644486292,1.6485014362092651,1.0,0.23550020517275214,1.0
0.8999999999999999,-0.18244328349407418,4.420045436159572,-0.26994237916835734,5.855437412823386,1.5651708339486936,-0.008803396511741477,-0.051694021301061495,9052591.09834024,5485665.771315877,1.3891603684521534,1.0,0.19845148120745046,1.0
0.9999999999999999,-0.20970611096206432,5.0711571657076755,-0.2726282746799012,6.511117295481037,1.564255579278837,-0.009152546698568124,-0.04838750069183396,9048274.12265841,5481348.795634047,1.1230364245966253,1.0,0.16043377494237504,1.0
1.0999999999999999,-0.2368019651099685,5.787918679972745,-0.2709585414790418,7.167615142650698,1.563313801738468,-0.009417775403685574,-0.045267698074304086,9043957.065064827,5477031.738040464,0.8526465974978136,1.0,0.12180665678540194,1.0
1.2,-0.2632886669416601,6.570409881489007,-0.26486701831691567,7.824912015162617,1.562353952556744,-0.009598491817241138,-0.04227865617163551,9039639.947665067,5472714.620640705,0.5804916129302596,1.0,0.08292737327575136,1.0
1.3,-0.2887214165072485,7.418708725840178,-0.25432749565588375,8.482988443511704,1.561384465297349,-0.009694872593950516,-0.039383767904310085,9035322.79323956,5468397.466215199,0.3090343594278929,1.0,0.04414776563255613,1.0
1.4000000000000001,-0.3126567310316778,8.332891242186435,-0.23935314524429327,9.141825163462569,1.560413680849733,-0.009707844476157669,-0.03655887122042456,9031005.624423837,5464080.297399476,0.040679141789493424,1.0,0.005811305969927631,1.0
